站点代码,数据时间,气温,气压,相对湿度,风向,风速,降雨量,能见度
59133,20220511225209,23.8,1014.6,29,153,9.4,0.4,10094.8
59134,20220511225209,24.8,1020.2,92,16,1.5,1.2,10452.7
59321,20220511225209,27.6,1016.6,27,153,13.1,1.4,10306.5
52323,20220511225209,6.1,1005.1,87,245,8.6,0.1,10348.7
52418,20220511225209,22.7,1009.3,65,124,9.5,0.8,10122.2
52424,20220511225209,8.8,1024.0,80,274,14.9,0.2,10462.2
52436,20220511225209,3.6,1025.9,20,78,7.2,1.4,10036.1
52446,20220511225209,12.6,1018.3,98,115,10.9,1.5,10208.0
52447,20220511225209,16.9,1007.6,94,124,7.9,0.9,10033.8
52533,20220511225209,18.4,1018.3,38,138,12.3,1.2,10129.5
52546,20220511225209,30.2,1005.5,7,219,8.7,0.5,10311.7
52652,20220511225209,20.5,1001.8,94,287,14.3,0.6,10124.8
52661,20220511225209,23.2,1010.7,36,131,0.8,0.8,10306.1
52674,20220511225209,12.8,1020.9,37,148,4.4,1.4,10199.9
52679,20220511225209,4.7,1025.4,63,132,13.7,0.8,10137.4
52681,20220511225209,33.5,1007.6,62,7,11.9,1.0,10309.0
52787,20220511225209,15.6,1006.1,50,289,7.3,0.4,10031.6
52797,20220511225209,23.9,1016.7,70,176,0.6,0.5,10453.0
52884,20220511225209,15.9,1014.8,84,240,7.8,0.5,10321.3
52895,20220511225209,5.1,1009.1,45,213,11.2,0.5,10314.8
52983,20220511225209,1.0,1022.1,36,238,5.9,1.2,10139.2
52984,20220511225209,1.0,1024.0,42,40,8.7,1.0,10431.1
52986,20220511225209,18.8,1012.7,42,309,10.1,0.0,10400.5
52996,20220511225209,22.2,1017.1,35,280,8.7,1.4,10110.8
53821,20220511225209,17.2,1017.7,74,93,0.0,1.2,10317.5
53915,20220511225209,34.7,1014.6,52,85,6.9,0.0,10477.3
53923,20220511225209,31.9,1016.9,63,354,7.2,0.3,10226.8
56074,20220511225209,20.1,1004.1,26,358,10.5,0.7,10356.3
56080,20220511225209,14.7,1022.6,52,84,3.0,0.4,10077.2
56093,20220511225209,21.6,1004.9,13,291,8.7,0.8,10410.5
56096,20220511225209,3.7,1011.8,3,177,1.3,1.3,10382.6
57014,20220511225209,22.7,1008.2,80,122,5.6,0.8,10142.0
57996,20220511225209,0.5,1005.5,31,233,0.8,0.9,10323.7
59072,20220511225209,16.7,1009.1,79,158,5.2,0.3,10066.3
59082,20220511225209,6.8,1016.4,98,130,11.7,0.8,10254.5
59087,20220511225209,27.1,1016.6,92,147,9.5,1.0,10278.1
59088,20220511225209,23.2,1010.1,54,102,14.3,0.3,10392.8
59096,20220511225209,15.5,1020.3,18,241,8.2,0.4,10468.7
59097,20220511225209,24.5,1013.8,25,176,10.2,0.9,10218.8
59107,20220511225209,25.2,1004.5,95,20,4.6,1.3,10281.1
59116,20220511225209,13.0,1007.9,2,45,13.7,0.2,10273.4
59117,20220511225209,15.4,1000.0,77,55,6.0,0.1,10493.8
59271,20220511225209,2.8,1010.5,40,157,3.8,1.5,10343.2
59278,20220511225209,23.6,1009.2,81,172,1.4,1.5,10304.5
59280,20220511225209,4.7,1002.4,84,285,12.4,1.2,10048.0
59287,20220511225209,21.0,1008.6,11,264,3.3,1.0,10412.3
59289,20220511225209,4.5,1002.4,9,236,13.1,1.5,10015.6
59293,20220511225209,32.9,1004.0,19,212,5.4,1.5,10023.1
59294,20220511225209,23.3,1010.1,89,91,9.2,0.0,10083.0
59298,20220511225209,21.9,1023.8,40,140,0.1,0.1,10045.0
59303,20220511225209,17.5,1000.5,8,248,2.6,0.3,10153.1
59304,20220511225209,24.4,1022.7,30,319,13.4,0.3,10369.7
59306,20220511225209,31.1,1019.3,69,76,7.6,0.5,10184.2
59310,20220511225209,0.7,1010.3,29,145,14.1,0.3,10140.5
59316,20220511225209,4.4,1007.1,94,237,1.1,0.5,10243.9
59317,20220511225209,25.6,1009.3,22,66,13.7,0.6,10471.5
59324,20220511225209,24.4,1024.7,71,159,10.0,0.2,10386.4
59456,20220511225209,6.1,1007.9,9,248,13.2,0.4,10026.8
59462,20220511225209,7.0,1010.1,4,139,7.7,0.0,10492.2
59478,20220511225209,21.1,1024.9,7,87,2.0,1.5,10216.3
59485,20220511225209,13.9,1022.7,52,159,8.6,0.1,10153.1
59488,20220511225209,2.5,1006.2,59,257,11.1,0.6,10187.6
59493,20220511225209,12.4,1018.8,4,30,10.9,1.0,10372.2
59501,20220511225209,4.2,1005.1,90,206,10.8,0.7,10160.2
59658,20220511225209,32.3,1022.2,31,255,6.1,0.2,10088.9
59663,20220511225209,33.7,1009.0,58,137,6.7,1.5,10251.3
59664,20220511225209,3.3,1010.4,73,227,8.7,0.7,10478.1
59673,20220511225209,20.9,1001.5,91,276,14.2,1.1,10170.1
59754,20220511225209,30.8,1007.4,20,10,5.8,0.5,10246.8
57947,20220511225209,26.4,1004.3,37,340,9.1,1.3,10219.1
57957,20220511225209,9.2,1006.0,17,141,4.6,0.5,10457.4
57958,20220511225209,5.0,1014.8,18,223,0.4,0.3,10448.3
59021,20220511225209,6.0,1002.4,34,222,2.0,0.4,10406.0
59023,20220511225209,23.1,1016.1,2,331,9.1,0.1,10471.3
59027,20220511225209,8.6,1021.2,33,303,4.5,0.5,10056.1
59037,20220511225209,34.3,1025.5,6,97,0.8,0.6,10039.9
59046,20220511225209,34.3,1006.2,33,14,2.1,0.1,10491.9
59058,20220511225209,28.8,1016.2,49,103,7.8,0.6,10407.9
59065,20220511225209,34.9,1026.4,98,254,7.4,0.5,10352.1
59209,20220511225209,23.9,1021.5,34,22,2.0,0.6,10439.7
59211,20220511225209,19.7,1017.3,53,295,4.5,1.2,10015.4
59218,20220511225209,24.1,1010.3,27,331,12.5,0.7,10215.9
59228,20220511225209,25.2,1019.9,61,357,12.0,1.3,10174.8
59242,20220511225209,10.7,1023.3,81,283,1.9,0.1,10066.9
59254,20220511225209,10.9,1003.6,18,52,6.9,0.1,10307.8
59265,20220511225209,20.8,1009.2,79,44,11.1,1.2,10238.3
59417,20220511225209,9.0,1013.3,82,154,1.2,0.5,10330.4
59431,20220511225209,13.3,1016.5,3,87,4.0,1.0,10297.6
59446,20220511225209,31.2,1013.9,70,323,10.5,1.4,10481.3
59453,20220511225209,0.1,1004.8,96,92,6.7,0.5,10266.9
59626,20220511225209,21.4,1020.2,76,287,11.5,0.0,10274.9
59631,20220511225209,8.1,1013.1,85,275,0.3,1.0,10034.8
59632,20220511225209,0.0,1022.2,38,357,2.1,1.0,10442.8
59644,20220511225209,3.5,1017.0,41,187,0.5,1.1,10155.2
59647,20220511225209,9.3,1011.3,81,63,9.5,0.8,10310.5
56691,20220511225209,3.7,1000.6,36,134,7.0,1.5,10225.1
56693,20220511225209,25.9,1026.2,5,41,3.1,0.9,10231.4
56792,20220511225209,4.4,1023.2,96,223,14.9,1.5,10417.9
56793,20220511225209,28.7,1021.0,44,308,13.8,1.1,10060.0
57606,20220511225209,16.2,1000.3,6,359,0.0,0.0,10215.3
57614,20220511225209,26.0,1015.6,4,247,6.8,0.3,10161.5
57625,20220511225209,0.6,1003.8,1,114,0.7,1.5,10198.2
57647,20220511225209,18.0,1016.8,33,332,0.8,0.7,10400.1
57707,20220511225209,25.8,1023.3,77,85,3.6,1.3,10146.1
57710,20220511225209,2.8,1015.9,31,180,3.5,0.2,10031.7
57712,20220511225209,31.8,1007.5,78,187,10.0,1.3,10381.2
57718,20220511225209,19.7,1011.4,56,105,0.9,1.1,10392.3
57722,20220511225209,12.0,1017.5,71,27,7.0,0.2,10161.0
57729,20220511225209,22.9,1001.1,42,247,5.5,1.5,10416.3
57731,20220511225209,23.3,1012.4,68,81,10.7,0.4,10358.0
57741,20220511225209,11.7,1024.2,23,277,0.2,0.9,10196.6
57803,20220511225209,0.9,1006.1,13,103,13.3,1.0,10289.4
57805,20220511225209,12.8,1015.7,8,122,6.3,0.8,10097.2
57806,20220511225209,19.5,1002.1,69,284,3.1,1.2,10129.2
57816,20220511225209,34.9,1003.9,26,97,6.2,1.1,10008.7
57825,20220511225209,34.7,1021.8,2,201,9.5,0.9,10137.8
57827,20220511225209,34.8,1009.7,68,214,12.9,1.4,10202.5
57832,20220511225209,3.3,1022.1,6,3,14.9,0.5,10246.2
57839,20220511225209,4.3,1010.8,45,302,5.0,1.4,10454.4
57840,20220511225209,15.2,1001.1,39,92,5.0,1.1,10409.4
57902,20220511225209,17.0,1005.7,79,95,5.1,0.9,10447.6
57906,20220511225209,15.0,1009.0,58,193,0.1,1.4,10246.7
57907,20220511225209,11.5,1023.5,17,105,5.3,0.8,10172.1
57910,20220511225209,14.6,1012.9,80,19,10.6,1.4,10470.1
57912,20220511225209,4.9,1013.1,66,165,11.6,0.3,10093.0
57916,20220511225209,6.2,1010.9,95,348,11.9,1.5,10127.3
57922,20220511225209,6.7,1024.6,10,74,0.6,1.3,10448.1
57926,20220511225209,18.0,1008.0,20,327,2.6,1.0,10484.6
57932,20220511225209,23.5,1000.5,91,122,8.2,0.7,10368.9
59758,20220511225209,5.1,1006.7,81,5,9.6,1.4,10403.7
59838,20220511225209,6.0,1018.2,87,289,9.3,0.0,10063.0
59845,20220511225209,16.8,1007.5,76,293,6.7,0.2,10074.3
59849,20220511225209,15.7,1023.9,67,68,11.7,0.8,10473.4
59855,20220511225209,30.8,1015.8,71,359,1.7,0.2,10143.9
59948,20220511225209,26.0,1002.3,83,320,10.6,1.2,10382.6
59954,20220511225209,20.6,1017.3,86,103,14.4,0.4,10399.6
59981,20220511225209,11.3,1020.1,97,117,10.2,1.4,10427.3
53399,20220511225209,27.1,1023.8,62,102,8.8,0.7,10339.9
53593,20220511225209,17.2,1025.8,43,151,11.8,0.0,10075.4
53698,20220511225209,9.0,1009.6,26,18,11.5,1.4,10137.9
53798,20220511225209,27.8,1023.9,50,184,3.0,0.5,10203.3
54308,20220511225209,20.6,1008.8,73,178,8.6,0.9,10421.7
54311,20220511225209,27.7,1016.0,7,161,0.8,0.8,10452.4
54401,20220511225209,6.2,1011.9,57,125,7.1,0.2,10366.5
54405,20220511225209,25.3,1010.4,69,9,11.9,1.3,10067.9
54423,20220511225209,7.2,1025.1,8,78,8.0,0.7,10274.7
54429,20220511225209,8.0,1017.1,31,33,13.9,0.0,10274.8
54436,20220511225209,10.0,1005.7,32,288,6.3,1.1,10033.6
54449,20220511225209,21.9,1011.1,70,4,11.8,0.6,10074.6
54518,20220511225209,1.0,1007.7,100,332,2.6,0.6,10334.3
54534,20220511225209,21.2,1012.5,33,76,0.8,0.6,10148.5
54535,20220511225209,23.4,1025.7,49,227,9.1,0.3,10250.8
54539,20220511225209,12.9,1012.9,62,303,9.2,0.7,10405.6
54602,20220511225209,18.7,1012.6,46,251,8.0,0.8,10182.7
54606,20220511225209,19.6,1012.5,80,354,4.5,0.7,10489.8
54618,20220511225209,6.2,1014.2,66,43,2.9,1.3,10214.9
54624,20220511225209,31.4,1019.0,30,20,11.4,1.1,10164.6
54705,20220511225209,29.6,1021.8,44,79,14.9,0.9,10220.6
53898,20220511225209,5.0,1024.2,19,110,4.2,0.5,10410.0
53986,20220511225209,8.1,1008.7,48,313,13.9,0.4,10437.4
57051,20220511225209,26.6,1013.3,51,184,2.3,1.1,10454.2
57067,20220511225209,26.9,1011.1,100,95,0.4,0.7,10146.5
57071,20220511225209,15.4,1006.6,42,7,2.3,0.3,10393.1
57077,20220511225209,7.9,1000.1,34,295,12.5,1.3,10269.1
57083,20220511225209,4.9,1019.2,1,268,12.5,0.6,10317.3
57084,20220511225209,31.3,1001.9,9,337,1.2,1.5,10152.9
57089,20220511225209,5.4,1015.7,52,64,9.0,0.8,10391.5
57091,20220511225209,1.6,1016.9,93,194,6.7,0.2,10349.3
57156,20220511225209,20.7,1000.8,43,209,6.0,1.4,10496.2
57178,20220511225209,14.4,1014.2,82,266,13.3,0.1,10211.7
57181,20220511225209,2.8,1003.4,62,64,10.3,1.2,10352.9
57193,20220511225209,21.9,1002.2,57,262,1.3,0.5,10378.6
57285,20220511225209,11.6,1016.9,38,24,14.2,1.1,10260.7
57290,20220511225209,15.7,1014.1,32,290,7.5,0.1,10245.1
57297,20220511225209,23.5,1017.6,58,45,5.7,0.6,10398.6
58005,20220511225209,22.5,1008.2,64,129,4.1,0.7,10302.5
58111,20220511225209,12.7,1010.0,20,358,4.9,0.8,10356.0
58208,20220511225209,12.9,1017.2,98,168,2.0,0.8,10479.1
50136,20220511225209,24.5,1012.0,20,3,0.4,0.8,10271.0
50246,20220511225209,19.0,1022.6,31,26,3.1,1.3,10374.9
50247,20220511225209,19.3,1012.0,59,321,3.5,0.1,10177.7
50349,20220511225209,25.7,1022.8,83,350,13.0,0.7,10419.0
50353,20220511225209,3.9,1017.7,70,57,10.9,0.8,10133.6
50442,20220511225209,32.6,1020.4,13,317,11.7,0.3,10232.0
50468,20220511225209,20.2,1005.5,92,153,0.7,0.5,10218.7
50557,20220511225209,13.0,1015.6,26,52,6.9,0.8,10021.4
50564,20220511225209,2.0,1014.6,94,3,5.3,0.2,10176.4
50656,20220511225209,12.4,1014.6,53,358,7.7,0.4,10312.7
50658,20220511225209,6.0,1025.1,64,163,10.2,0.6,10498.8
50674,20220511225209,10.9,1005.0,75,84,3.8,0.8,10363.8
50739,20220511225209,27.9,1021.0,4,290,10.1,0.4,10282.9
50742,20220511225209,16.2,1024.7,18,32,7.0,0.1,10402.3
50745,20220511225209,31.6,1002.8,11,223,4.9,1.3,10012.9
50756,20220511225209,15.8,1010.7,8,275,8.4,0.5,10494.0
50758,20220511225209,13.5,1016.3,9,252,4.5,0.3,10350.5
50774,20220511225209,1.0,1020.1,13,316,2.5,0.6,10233.1
50778,20220511225209,26.6,1014.1,31,33,9.1,0.4,10168.8
50788,20220511225209,31.8,1006.3,28,96,14.2,1.0,10238.7
50844,20220511225209,15.5,1004.4,84,252,10.3,0.3,10495.7
50853,20220511225209,15.7,1009.6,84,39,1.7,0.4,10283.6
50854,20220511225209,0.0,1017.1,36,39,12.9,0.2,10322.7
50862,20220511225209,27.5,1018.0,74,114,2.6,0.4,10418.9
50873,20220511225209,1.5,1024.5,75,87,1.0,0.9,10126.4
50877,20220511225209,19.7,1015.7,89,253,10.8,1.1,10251.9
50888,20220511225209,6.0,1011.4,21,121,9.5,0.8,10351.4
50950,20220511225209,23.8,1000.6,98,250,8.6,0.3,10240.7
50953,20220511225209,13.3,1008.0,79,93,11.6,1.2,10361.2
50955,20220511225209,14.4,1007.1,33,231,11.3,0.4,10104.3
50963,20220511225209,13.8,1018.0,70,90,1.5,0.2,10034.9
50968,20220511225209,22.7,1024.0,85,139,12.8,1.3,10070.7
50973,20220511225209,6.7,1000.4,6,109,3.2,0.0,10218.9
50978,20220511225209,33.1,1021.8,47,266,10.2,1.4,10433.2
50983,20220511225209,14.6,1017.2,26,31,9.8,0.7,10403.6
54094,20220511225209,11.6,1014.9,66,305,3.9,0.1,10129.7
54096,20220511225209,1.7,1006.2,7,163,13.9,1.2,10074.1
57251,20220511225209,29.1,1004.5,79,341,3.8,0.1,10363.2
57256,20220511225209,13.7,1021.7,69,318,11.0,1.3,10092.8
57259,20220511225209,7.3,1018.0,43,133,3.1,0.3,10251.1
57265,20220511225209,29.8,1021.8,16,79,14.3,0.6,10451.9
57278,20220511225209,29.4,1018.3,92,25,8.8,0.6,10445.5
57279,20220511225209,31.6,1004.4,26,49,5.6,1.3,10359.3
57355,20220511225209,25.0,1005.3,81,276,13.1,0.2,10049.3
57358,20220511225209,18.3,1003.7,1,165,14.0,1.1,10310.0
57359,20220511225209,12.2,1001.1,52,47,8.1,0.3,10306.6
57363,20220511225209,32.3,1000.5,51,280,6.4,1.1,10331.8
57378,20220511225209,20.5,1001.7,1,159,6.1,1.2,10035.2
57381,20220511225209,32.8,1016.9,70,286,3.6,1.3,10342.8
57395,20220511225209,3.4,1004.8,21,84,8.0,0.7,10433.2
57399,20220511225209,0.3,1006.6,57,255,8.1,1.1,10097.3
57439,20220511225209,9.2,1016.6,9,10,0.9,0.8,10408.2
57445,20220511225209,15.8,1009.7,29,36,14.6,0.1,10437.6
57447,20220511225209,2.4,1009.8,19,22,5.7,1.4,10378.1
57458,20220511225209,22.5,1021.1,11,102,12.8,0.3,10388.0
57461,20220511225209,4.7,1010.3,77,39,6.6,0.4,10074.3
57476,20220511225209,18.0,1009.4,43,77,13.6,1.4,10420.3
57482,20220511225209,7.6,1002.7,41,98,14.0,1.0,10342.9
57483,20220511225209,9.6,1005.8,59,78,5.9,0.1,10087.5
57493,20220511225209,21.7,1016.7,35,209,2.2,0.7,10287.1
57494,20220511225209,4.0,1005.5,42,194,14.2,0.3,10193.0
57545,20220511225209,32.3,1009.7,30,163,2.9,0.5,10025.5
57573,20220511225209,27.0,1001.9,14,141,2.9,0.8,10158.3
57581,20220511225209,25.0,1023.2,58,178,3.9,0.3,10126.1
57583,20220511225209,17.5,1008.7,92,269,14.8,0.4,10287.9
57595,20220511225209,21.2,1004.2,28,110,12.6,0.8,10294.1
58402,20220511225209,6.6,1012.7,68,138,5.6,1.3,10332.2
58407,20220511225209,5.9,1001.2,64,255,0.4,1.2,10337.4
58500,20220511225209,29.5,1003.2,37,306,1.4,0.7,10374.6
57554,20220511225209,29.5,1010.1,72,46,2.8,1.4,10098.5
57562,20220511225209,34.1,1013.8,64,333,8.7,1.4,10401.4
57574,20220511225209,18.0,1025.0,95,122,7.2,1.0,10372.6
57584,20220511225209,20.3,1025.0,16,73,4.2,1.5,10003.1
57642,20220511225209,22.9,1002.6,88,353,9.2,0.2,10374.0
57649,20220511225209,14.3,1002.2,10,320,12.2,1.2,10132.8
57655,20220511225209,10.4,1013.6,37,336,2.2,0.2,10077.0
57662,20220511225209,34.7,1003.0,48,245,12.1,0.6,10419.2
57669,20220511225209,25.0,1013.3,31,234,0.1,0.5,10180.1
57671,20220511225209,18.7,1019.1,33,220,9.5,0.1,10258.3
57673,20220511225209,16.6,1020.2,46,358,12.3,1.3,10176.2
57679,20220511225209,30.8,1016.4,73,44,0.4,1.1,10077.3
57682,20220511225209,30.5,1007.6,72,41,5.6,0.9,10356.0
57687,20220511225209,7.3,1025.9,16,44,0.5,1.1,10251.0
57745,20220511225209,10.0,1013.5,78,129,10.9,0.7,10265.4
57749,20220511225209,24.5,1016.6,34,310,2.0,0.5,10471.7
57752,20220511225209,24.8,1023.9,48,112,6.7,0.3,10378.7
57758,20220511225209,11.4,1012.4,14,104,0.1,1.2,10195.7
57761,20220511225209,0.3,1021.0,18,309,2.2,1.1,10073.9
57766,20220511225209,4.2,1023.0,31,87,2.8,0.3,10307.1
57774,20220511225209,18.2,1024.3,77,268,0.4,1.1,10309.9
57776,20220511225209,13.1,1013.6,79,216,12.3,0.3,10358.4
57779,20220511225209,27.4,1007.8,21,302,0.5,1.0,10121.8
57780,20220511225209,0.1,1001.0,75,122,10.7,0.0,10139.4
57841,20220511225209,4.8,1017.9,79,176,9.4,0.6,10089.5
57845,20220511225209,29.6,1016.2,50,11,8.0,0.7,10165.0
57853,20220511225209,27.2,1013.0,100,49,4.5,0.0,10012.4
57857,20220511225209,33.6,1017.2,56,101,9.9,0.5,10351.4
57860,20220511225209,17.9,1020.7,25,243,10.7,0.6,10376.6
57866,20220511225209,34.9,1006.1,49,52,4.3,0.1,10257.1
57872,20220511225209,17.2,1009.1,44,139,14.8,1.4,10044.3
57874,20220511225209,2.6,1022.8,73,245,3.2,0.0,10493.1
57889,20220511225209,34.7,1022.6,22,157,14.9,0.1,10470.4
57965,20220511225209,7.0,1016.1,66,201,1.2,1.3,10270.7
57972,20220511225209,6.8,1020.3,90,43,3.9,0.0,10204.6
57974,20220511225209,24.5,1020.0,23,134,9.9,1.5,10128.6
50936,20220511225209,9.9,1001.0,10,285,13.6,1.4,10088.1
50945,20220511225209,19.8,1025.4,88,203,3.0,0.8,10333.0
50948,20220511225209,34.9,1008.0,71,262,3.3,0.7,10415.4
50949,20220511225209,30.1,1024.5,100,94,7.6,1.0,10255.9
54041,20220511225209,32.6,1003.6,80,72,4.6,1.2,10442.8
54049,20220511225209,26.7,1013.0,33,212,9.9,1.1,10071.9
54063,20220511225209,28.1,1024.1,25,187,14.6,1.5,10206.9
54064,20220511225209,7.5,1012.6,68,115,0.4,1.0,10322.2
54142,20220511225209,14.7,1007.9,71,111,1.5,1.4,10457.2
54157,20220511225209,10.1,1009.8,2,250,1.1,0.5,10280.5
54161,20220511225209,12.3,1021.6,42,6,8.2,1.0,10074.8
54165,20220511225209,28.9,1022.8,56,173,2.1,1.4,10415.6
54171,20220511225209,20.8,1021.2,92,209,13.7,0.9,10325.7
54181,20220511225209,32.3,1002.8,97,288,10.4,1.3,10145.3
54186,20220511225209,17.3,1010.9,93,269,4.0,1.3,10435.3
54195,20220511225209,3.7,1024.4,2,245,11.4,0.0,10035.3
54260,20220511225209,4.6,1009.3,41,333,12.1,0.7,10371.7
54263,20220511225209,31.5,1010.1,96,222,1.2,1.5,10176.1
54266,20220511225209,2.9,1010.0,49,193,2.4,0.0,10126.1
54273,20220511225209,2.4,1010.6,43,232,7.7,0.8,10214.9
54276,20220511225209,0.3,1012.5,21,238,13.1,1.2,10386.3
54284,20220511225209,29.2,1012.7,19,74,4.4,1.0,10211.1
54285,20220511225209,29.1,1007.7,60,14,9.8,1.5,10261.4
54286,20220511225209,21.3,1001.7,26,21,7.8,0.8,10463.1
54292,20220511225209,29.3,1001.9,36,249,1.6,1.1,10421.7
54363,20220511225209,26.7,1013.0,24,53,11.7,0.5,10217.6
54374,20220511225209,27.9,1015.2,97,291,11.7,1.5,10464.1
54377,20220511225209,34.2,1001.1,9,51,7.0,0.6,10401.9
54386,20220511225209,11.9,1015.9,71,168,11.8,0.1,10050.7
58026,20220511225209,0.6,1023.0,90,94,8.7,1.2,10353.8
58027,20220511225209,26.7,1002.7,8,320,1.5,0.3,10171.5
58038,20220511225209,25.6,1007.2,42,121,3.0,0.5,10181.7
58040,20220511225209,27.0,1022.3,30,83,8.9,1.2,10311.1
58047,20220511225209,6.4,1018.1,74,206,2.8,1.4,10322.0
58130,20220511225209,20.2,1016.1,72,72,8.3,1.0,10272.9
58135,20220511225209,13.8,1000.0,36,214,14.9,0.8,10251.3
58138,20220511225209,12.4,1007.1,33,295,1.1,0.1,10490.9
58141,20220511225209,18.5,1005.2,55,330,7.9,1.1,10482.1
58143,20220511225209,14.1,1009.4,41,245,6.5,0.4,10002.1
58150,20220511225209,11.8,1006.2,42,59,3.0,0.0,10316.6
58158,20220511225209,10.2,1017.0,74,163,3.1,1.3,10268.5
58238,20220511225209,4.0,1001.8,42,187,8.8,1.1,10199.5
58241,20220511225209,16.1,1008.1,19,228,6.5,0.3,10143.9
58251,20220511225209,18.8,1000.3,3,232,11.7,1.1,10116.2
58252,20220511225209,29.5,1003.4,70,101,2.9,1.4,10297.7
58255,20220511225209,15.7,1021.4,48,116,1.9,0.8,10008.6
58259,20220511225209,31.1,1023.2,67,236,1.5,0.4,10408.3
58265,20220511225209,0.5,1006.2,11,74,7.0,0.1,10004.0
58343,20220511225209,19.7,1005.0,83,229,3.6,0.3,10453.0
58345,20220511225209,32.9,1001.7,68,297,9.6,1.4,10171.7
58354,20220511225209,19.9,1004.3,43,275,9.7,0.4,10432.2
58356,20220511225209,11.2,1025.6,9,34,9.4,1.1,10113.4
58358,20220511225209,6.0,1018.1,59,66,14.6,0.4,10088.7
57598,20220511225209,34.8,1005.3,67,270,9.2,0.5,10123.8
57696,20220511225209,4.4,1022.3,67,26,6.1,0.4,10085.1
57789,20220511225209,9.3,1003.5,37,52,6.8,1.3,10212.0
57793,20220511225209,7.6,1007.1,27,191,5.2,0.1,10331.1
57799,20220511225209,29.2,1004.7,34,125,2.3,0.4,10112.5
57894,20220511225209,8.8,1000.9,17,266,4.5,0.2,10114.8
57896,20220511225209,16.6,1013.9,98,249,6.6,0.5,10283.6
57993,20220511225209,19.2,1018.0,61,71,14.8,1.4,10147.8
58506,20220511225209,27.8,1009.0,72,83,10.5,0.9,10355.6
