站点代码,数据时间,气温,气压,相对湿度,风向,风速,降雨量,能见度
59488,20210520052030,23.8,1024.5,79,348,8.8,1.2,10296.7
59493,20210520052030,19.1,1009.4,61,148,10.7,1.3,10174.4
59501,20210520052030,12.3,1011.8,51,308,8.2,0.6,10455.7
59658,20210520052030,0.1,1002.3,74,210,10.7,0.0,10313.9
59663,20210520052030,30.2,1010.3,5,333,3.5,1.4,10428.7
59664,20210520052030,27.1,1011.4,3,74,6.5,0.3,10369.0
59673,20210520052030,7.0,1005.7,40,291,8.1,0.9,10429.6
59754,20210520052030,10.4,1001.6,55,312,11.0,1.1,10473.0
57947,20210520052030,22.6,1001.3,47,294,6.6,0.3,10396.8
57957,20210520052030,13.6,1002.0,62,261,4.6,0.8,10046.7
57958,20210520052030,15.1,1006.4,59,156,7.3,0.5,10155.5
59021,20210520052030,9.1,1014.0,31,249,9.2,0.8,10099.5
59023,20210520052030,2.2,1000.8,50,201,9.9,1.1,10411.3
59027,20210520052030,32.8,1000.5,68,311,8.8,0.1,10110.1
59037,20210520052030,0.2,1021.0,61,88,7.6,1.0,10264.0
59046,20210520052030,20.0,1023.6,37,4,6.2,0.3,10170.6
59058,20210520052030,12.1,1013.0,40,168,11.9,0.4,10126.7
59065,20210520052030,26.1,1004.3,49,157,14.0,1.2,10170.2
59209,20210520052030,31.2,1023.7,15,243,4.2,0.6,10135.2
59211,20210520052030,22.7,1016.2,1,281,11.8,1.3,10256.3
59218,20210520052030,12.4,1021.8,4,146,6.3,1.0,10039.6
59228,20210520052030,24.9,1000.0,80,24,7.3,1.2,10143.9
59242,20210520052030,33.1,1010.9,4,284,14.1,0.5,10000.3
59254,20210520052030,34.9,1000.3,23,45,4.2,1.1,10062.6
59265,20210520052030,27.3,1025.4,57,235,12.2,0.7,10477.5
59417,20210520052030,17.0,1009.3,33,22,14.0,0.4,10058.9
59431,20210520052030,13.0,1000.0,21,21,3.4,1.5,10215.9
59446,20210520052030,35.0,1010.0,85,312,13.6,0.2,10454.0
59453,20210520052030,25.4,1022.6,48,113,4.5,1.5,10083.0
59626,20210520052030,29.4,1010.2,76,337,6.8,0.3,10239.0
59631,20210520052030,28.6,1024.4,6,264,0.9,0.2,10012.3
59632,20210520052030,23.3,1005.1,83,52,9.2,1.4,10324.8
59644,20210520052030,0.4,1021.9,6,202,5.8,1.3,10204.4
59647,20210520052030,24.5,1020.1,98,225,12.1,1.2,10246.1
56691,20210520052030,33.4,1011.1,14,51,10.1,0.6,10058.2
56693,20210520052030,19.2,1012.1,33,190,14.8,1.4,10280.1
56792,20210520052030,22.0,1014.2,72,294,5.7,0.0,10105.7
56793,20210520052030,34.6,1001.1,45,22,4.0,0.5,10151.6
57606,20210520052030,2.4,1018.4,82,304,10.1,0.2,10196.3
57614,20210520052030,9.2,1011.5,84,318,6.3,0.7,10083.2
57625,20210520052030,10.7,1000.2,64,307,1.4,1.4,10221.0
57647,20210520052030,8.3,1011.0,23,58,9.4,1.4,10203.4
57707,20210520052030,3.8,1012.2,61,107,8.1,1.0,10044.1
57710,20210520052030,24.6,1014.3,59,158,5.5,1.3,10116.1
57712,20210520052030,13.4,1012.7,38,194,8.9,0.8,10367.9
57718,20210520052030,5.5,1021.9,76,317,9.7,0.9,10496.9
57722,20210520052030,20.6,1013.6,81,55,3.0,0.9,10039.6
57729,20210520052030,11.8,1016.7,26,248,12.7,1.1,10080.3
57731,20210520052030,7.8,1013.0,48,84,13.4,0.5,10292.1
57741,20210520052030,26.0,1025.0,33,198,7.2,1.2,10102.3
57803,20210520052030,32.8,1012.4,76,210,12.7,1.1,10268.1
57805,20210520052030,33.7,1019.3,12,51,8.7,0.0,10282.9
57806,20210520052030,5.0,1016.1,10,308,4.8,0.5,10480.6
57816,20210520052030,20.1,1017.2,43,299,2.9,0.3,10447.6
57825,20210520052030,18.8,1004.2,98,172,4.8,0.0,10247.1
57827,20210520052030,21.5,1009.5,72,3,8.0,1.0,10409.0
57832,20210520052030,10.2,1012.2,78,143,14.6,0.3,10133.7
57839,20210520052030,20.6,1000.1,88,309,3.8,0.9,10496.7
57840,20210520052030,26.6,1026.3,79,93,9.7,0.0,10272.2
57902,20210520052030,11.9,1007.7,81,314,13.4,0.7,10042.8
57906,20210520052030,0.5,1003.8,17,285,1.0,1.3,10033.6
57907,20210520052030,2.4,1019.7,4,13,2.8,0.2,10434.0
57910,20210520052030,30.7,1005.3,75,140,3.4,1.3,10101.3
57912,20210520052030,24.2,1011.8,59,179,3.5,1.0,10006.2
57916,20210520052030,15.8,1025.4,16,287,13.2,0.7,10155.1
57922,20210520052030,23.3,1004.1,45,283,0.9,1.5,10042.8
57926,20210520052030,4.1,1001.1,43,320,11.4,1.2,10491.5
57932,20210520052030,5.8,1012.8,14,272,0.8,0.7,10039.8
59758,20210520052030,32.7,1020.9,70,78,5.8,0.4,10171.2
59838,20210520052030,26.3,1024.5,30,136,14.3,0.1,10207.5
59845,20210520052030,23.3,1022.4,48,354,6.5,0.5,10441.2
59849,20210520052030,1.8,1010.0,7,50,13.5,1.1,10320.9
59855,20210520052030,20.2,1021.1,78,142,11.0,0.6,10471.1
59948,20210520052030,27.4,1011.2,18,184,14.9,1.0,10142.5
59954,20210520052030,29.7,1009.8,93,249,9.7,0.0,10434.4
59981,20210520052030,24.7,1006.3,50,265,4.5,1.1,10258.1
53399,20210520052030,5.0,1022.3,42,189,7.5,1.1,10260.5
53593,20210520052030,4.2,1012.9,32,270,5.4,0.8,10332.5
53698,20210520052030,26.7,1008.8,76,150,2.1,0.4,10055.6
53798,20210520052030,29.3,1021.7,96,324,4.7,0.1,10421.9
54308,20210520052030,32.1,1025.9,58,236,13.5,1.4,10122.9
54311,20210520052030,16.2,1024.6,29,49,4.3,0.3,10352.0
54401,20210520052030,23.9,1006.9,87,344,10.9,0.5,10015.1
54405,20210520052030,31.3,1011.8,60,210,14.5,1.0,10267.6
54423,20210520052030,11.6,1008.8,64,248,0.8,1.2,10096.5
54429,20210520052030,31.1,1015.3,22,255,4.4,0.9,10427.4
54436,20210520052030,31.5,1020.5,69,86,7.1,0.6,10461.1
54449,20210520052030,3.3,1008.2,51,182,0.1,1.3,10028.1
54518,20210520052030,6.0,1017.7,99,113,2.3,0.9,10192.1
54534,20210520052030,23.0,1025.6,50,46,0.9,0.2,10499.7
54535,20210520052030,34.4,1002.3,42,253,3.3,1.3,10497.5
54539,20210520052030,24.6,1005.3,75,178,13.1,0.8,10492.0
54602,20210520052030,4.0,1026.2,65,262,5.7,0.6,10318.7
54606,20210520052030,23.0,1012.1,10,163,11.4,1.5,10317.7
54618,20210520052030,1.8,1007.3,27,108,0.7,1.1,10408.8
54624,20210520052030,15.2,1002.4,6,219,4.2,0.7,10156.1
54705,20210520052030,26.4,1012.8,91,79,9.7,0.6,10149.2
53898,20210520052030,4.3,1025.7,23,226,9.5,0.7,10154.8
53986,20210520052030,29.6,1010.4,95,114,12.8,1.2,10220.6
57051,20210520052030,25.5,1016.5,89,137,1.9,0.5,10369.0
57067,20210520052030,21.5,1000.4,19,1,13.2,0.8,10479.0
57071,20210520052030,25.4,1023.4,95,196,3.3,0.4,10147.1
57077,20210520052030,28.1,1022.5,77,179,14.4,0.3,10390.6
57083,20210520052030,21.9,1017.3,41,159,3.5,0.4,10292.6
57084,20210520052030,2.8,1008.0,70,62,9.9,0.7,10385.5
57089,20210520052030,18.8,1017.4,16,116,11.4,0.6,10485.8
57091,20210520052030,0.1,1021.0,80,58,13.2,0.4,10211.6
57156,20210520052030,19.3,1024.6,96,203,12.6,1.5,10301.5
57178,20210520052030,19.5,1006.0,5,230,9.0,0.1,10396.1
57181,20210520052030,31.6,1008.0,8,187,6.4,0.3,10155.8
57193,20210520052030,3.8,1022.0,1,40,6.5,1.5,10378.0
57285,20210520052030,24.3,1012.4,80,227,2.0,0.2,10384.4
57290,20210520052030,27.6,1025.8,46,271,3.0,0.5,10008.1
57297,20210520052030,30.4,1022.7,27,234,9.2,1.3,10142.7
58005,20210520052030,26.5,1013.6,90,79,14.3,1.3,10134.7
58111,20210520052030,4.8,1025.2,82,39,11.4,0.0,10060.3
58208,20210520052030,7.8,1012.1,21,3,10.4,1.0,10443.6
50136,20210520052030,15.6,1007.9,29,217,4.6,0.2,10159.8
50246,20210520052030,0.1,1023.4,18,31,9.6,1.4,10113.0
50247,20210520052030,4.8,1005.1,14,222,12.3,1.4,10118.9
50349,20210520052030,10.5,1011.3,52,146,14.9,0.8,10063.2
50353,20210520052030,28.2,1013.7,57,231,6.1,0.8,10035.0
50442,20210520052030,19.0,1013.2,77,110,3.1,0.5,10440.2
50468,20210520052030,17.6,1008.8,44,171,10.4,0.8,10028.6
50557,20210520052030,16.2,1002.2,40,149,6.3,1.4,10028.6
50564,20210520052030,19.2,1015.9,57,60,5.6,0.4,10009.4
50656,20210520052030,8.6,1014.5,65,330,14.4,0.8,10107.4
50658,20210520052030,23.4,1011.7,87,129,14.2,0.9,10140.5
50674,20210520052030,25.8,1019.5,59,67,9.4,1.3,10335.5
50739,20210520052030,12.4,1011.9,44,92,5.4,1.2,10096.0
50742,20210520052030,31.8,1017.6,9,332,6.9,0.0,10293.7
50745,20210520052030,10.2,1022.6,100,163,5.3,0.5,10473.9
50756,20210520052030,24.6,1010.3,86,43,5.8,1.5,10231.0
50758,20210520052030,34.9,1020.7,72,302,8.2,0.6,10113.3
50774,20210520052030,20.6,1003.8,32,20,3.5,0.7,10467.7
50778,20210520052030,1.7,1021.0,52,99,8.3,0.6,10476.6
50788,20210520052030,9.2,1006.5,69,113,5.6,1.3,10454.9
50844,20210520052030,3.9,1016.4,3,19,4.1,0.9,10096.5
50853,20210520052030,3.6,1019.7,73,251,6.0,1.5,10379.5
50854,20210520052030,12.5,1006.6,2,221,11.3,0.8,10176.1
50862,20210520052030,26.8,1013.8,37,16,14.0,0.4,10322.9
50873,20210520052030,22.9,1002.9,50,303,1.0,0.8,10027.2
50877,20210520052030,5.3,1011.9,21,249,12.1,0.1,10398.5
50888,20210520052030,31.7,1024.3,58,89,9.7,1.4,10313.4
50950,20210520052030,9.7,1016.4,5,121,1.9,0.8,10467.3
50953,20210520052030,1.1,1000.3,20,348,10.9,0.0,10464.5
50955,20210520052030,2.5,1005.9,59,276,0.4,0.2,10133.5
50963,20210520052030,17.4,1018.3,99,239,12.4,0.7,10364.2
50968,20210520052030,0.6,1022.4,25,175,13.4,0.0,10265.7
50973,20210520052030,27.9,1019.2,47,65,2.2,1.3,10054.7
50978,20210520052030,3.9,1014.5,2,325,6.2,1.5,10007.4
50983,20210520052030,3.7,1026.0,40,355,11.5,0.1,10053.6
54094,20210520052030,20.0,1010.9,49,332,6.8,1.2,10102.8
54096,20210520052030,14.9,1003.4,97,348,12.6,0.6,10036.0
57251,20210520052030,10.7,1005.4,4,353,9.7,1.3,10231.8
57256,20210520052030,19.0,1006.1,25,119,10.8,0.7,10070.6
57259,20210520052030,9.2,1022.7,34,245,10.6,0.1,10328.1
57265,20210520052030,23.8,1014.2,31,323,6.1,1.0,10059.1
57278,20210520052030,4.4,1009.3,69,349,8.2,0.8,10008.6
57279,20210520052030,11.1,1015.7,19,292,4.5,1.4,10481.3
57355,20210520052030,1.3,1022.8,51,348,6.7,0.3,10119.6
57358,20210520052030,2.3,1006.9,24,241,2.6,0.9,10441.0
57359,20210520052030,18.5,1023.2,28,49,10.7,0.8,10421.9
57363,20210520052030,3.3,1021.5,99,143,9.9,0.4,10423.7
57378,20210520052030,15.0,1005.0,92,350,11.8,0.5,10448.4
57381,20210520052030,11.3,1022.3,25,80,9.7,1.5,10316.4
57395,20210520052030,26.6,1010.5,99,316,13.9,1.0,10185.7
57399,20210520052030,20.1,1012.1,69,187,14.6,0.2,10285.9
57439,20210520052030,9.3,1010.9,79,133,9.5,0.5,10208.6
57445,20210520052030,31.6,1021.9,75,113,4.2,1.0,10282.8
57447,20210520052030,5.7,1024.5,80,8,0.7,0.2,10078.4
57458,20210520052030,17.3,1006.6,34,354,3.2,0.6,10442.7
57461,20210520052030,20.0,1025.2,97,39,10.7,1.4,10022.9
57476,20210520052030,5.3,1014.2,17,9,1.1,0.7,10139.1
57482,20210520052030,11.1,1009.8,89,87,4.3,1.5,10119.7
57483,20210520052030,11.1,1017.2,56,158,0.5,1.3,10299.1
57493,20210520052030,8.6,1001.5,79,259,11.9,0.6,10113.9
57494,20210520052030,2.5,1023.7,24,202,4.9,1.5,10415.1
57545,20210520052030,16.6,1022.4,27,59,12.8,0.2,10076.5
57573,20210520052030,17.2,1001.6,87,266,8.5,1.4,10154.7
57581,20210520052030,1.0,1026.0,74,292,13.0,1.5,10322.0
57583,20210520052030,18.0,1010.4,55,348,3.1,0.1,10287.8
57595,20210520052030,9.0,1025.6,15,4,10.7,0.1,10076.2
58402,20210520052030,31.4,1020.9,83,323,9.5,1.3,10183.7
58407,20210520052030,7.6,1007.0,18,354,10.0,0.6,10192.7
58500,20210520052030,2.7,1004.0,11,133,2.4,0.9,10054.1
57554,20210520052030,14.2,1011.9,25,187,6.7,1.0,10189.3
57562,20210520052030,0.5,1001.3,100,274,4.3,0.9,10328.3
57574,20210520052030,27.4,1022.9,71,213,11.9,0.0,10111.9
57584,20210520052030,31.9,1016.5,7,283,2.6,1.2,10227.1
57642,20210520052030,23.4,1024.0,99,330,3.2,0.2,10267.5
57649,20210520052030,27.3,1021.2,34,78,10.0,0.4,10311.7
57655,20210520052030,1.8,1012.2,75,356,7.4,0.1,10088.7
57662,20210520052030,0.7,1000.3,10,165,11.5,1.5,10447.1
57669,20210520052030,15.1,1026.0,58,258,2.3,1.2,10097.2
57671,20210520052030,18.7,1004.2,58,116,10.1,0.6,10497.4
57673,20210520052030,1.3,1002.6,81,67,9.6,0.2,10007.3
57679,20210520052030,30.8,1005.4,98,25,13.4,0.2,10286.1
57682,20210520052030,18.8,1006.5,4,247,1.2,0.8,10455.5
57687,20210520052030,12.5,1018.3,54,150,10.3,1.5,10254.1
57745,20210520052030,12.0,1010.5,35,338,3.4,0.2,10065.2
57749,20210520052030,2.9,1025.5,94,292,12.2,0.6,10477.9
57752,20210520052030,8.6,1024.8,53,40,12.3,1.1,10136.5
57758,20210520052030,11.5,1015.7,6,283,13.8,1.5,10326.3
57761,20210520052030,1.9,1025.9,14,137,12.9,0.3,10130.1
57766,20210520052030,17.6,1018.5,15,187,8.5,1.5,10144.6
57774,20210520052030,7.0,1011.3,22,238,9.8,0.9,10345.9
57776,20210520052030,19.8,1001.0,91,230,9.9,0.0,10120.1
57779,20210520052030,24.9,1013.2,52,50,3.1,0.0,10303.2
57780,20210520052030,9.2,1015.0,85,188,8.0,1.0,10334.6
57841,20210520052030,6.5,1019.7,80,259,5.7,0.4,10005.3
57845,20210520052030,20.7,1001.5,29,70,0.7,0.6,10103.6
57853,20210520052030,11.5,1009.1,78,336,12.3,0.9,10283.1
57857,20210520052030,26.0,1024.5,55,299,1.1,0.6,10349.4
57860,20210520052030,23.9,1017.3,27,23,9.8,0.5,10263.8
57866,20210520052030,19.1,1000.0,41,191,3.2,0.4,10312.6
57872,20210520052030,0.6,1014.1,34,48,5.9,0.7,10083.8
57874,20210520052030,34.8,1017.2,23,329,8.7,0.1,10114.5
57889,20210520052030,23.9,1003.9,60,324,1.0,1.0,10002.3
57965,20210520052030,30.3,1003.1,51,323,14.9,1.1,10458.9
57972,20210520052030,14.5,1012.5,69,303,5.6,0.2,10449.5
57974,20210520052030,9.8,1004.2,20,291,5.9,0.9,10237.9
50936,20210520052030,25.4,1007.7,6,177,4.4,1.2,10259.9
50945,20210520052030,9.6,1014.0,53,12,9.4,0.7,10466.7
50948,20210520052030,11.8,1011.8,3,326,6.3,1.1,10005.4
50949,20210520052030,26.5,1024.9,25,280,4.6,1.1,10336.5
54041,20210520052030,29.8,1024.9,36,145,1.1,0.0,10470.9
54049,20210520052030,29.5,1020.7,48,11,0.9,0.8,10328.1
54063,20210520052030,9.5,1014.5,52,240,10.3,0.9,10461.4
54064,20210520052030,23.9,1012.0,81,142,10.9,0.9,10127.4
54142,20210520052030,18.2,1014.5,26,334,3.9,0.9,10314.4
54157,20210520052030,10.3,1011.0,75,90,1.4,0.2,10094.5
54161,20210520052030,21.3,1013.4,98,299,2.9,1.2,10171.0
54165,20210520052030,6.1,1008.1,60,244,3.8,1.5,10093.6
54171,20210520052030,20.5,1010.6,82,115,4.7,0.3,10245.1
54181,20210520052030,7.8,1006.4,43,271,12.9,0.4,10424.8
54186,20210520052030,21.4,1019.0,29,310,6.4,1.3,10370.0
54195,20210520052030,6.7,1014.6,82,171,8.4,0.8,10170.3
54260,20210520052030,12.5,1019.7,36,22,13.0,1.2,10210.3
54263,20210520052030,19.5,1010.5,1,308,0.1,0.6,10380.2
54266,20210520052030,13.8,1025.0,66,109,10.1,1.3,10288.8
54273,20210520052030,32.5,1014.6,1,123,9.9,0.2,10358.8
54276,20210520052030,28.9,1015.1,83,207,1.0,0.9,10013.5
54284,20210520052030,25.6,1013.4,61,280,1.1,0.4,10265.9
54285,20210520052030,1.7,1005.9,53,218,6.4,0.5,10085.2
54286,20210520052030,18.4,1018.0,79,15,8.6,1.4,10011.8
54292,20210520052030,1.5,1018.1,97,232,14.5,1.5,10401.9
54363,20210520052030,16.4,1020.6,14,168,3.2,1.3,10036.9
54374,20210520052030,13.2,1004.7,14,221,4.3,1.3,10324.1
54377,20210520052030,0.1,1023.2,39,309,10.2,0.8,10200.4
54386,20210520052030,15.6,1006.8,15,207,11.5,1.5,10237.7
58026,20210520052030,6.5,1002.2,31,47,3.8,0.4,10355.6
58027,20210520052030,27.9,1000.1,42,249,1.1,0.6,10118.5
58038,20210520052030,12.3,1012.7,94,86,11.1,1.1,10385.5
58040,20210520052030,5.1,1014.9,13,25,4.7,1.5,10269.5
58047,20210520052030,25.0,1006.2,84,106,13.4,1.3,10048.1
58130,20210520052030,0.8,1004.1,15,287,3.5,0.3,10315.0
58135,20210520052030,18.1,1017.6,51,212,3.3,0.3,10021.8
58138,20210520052030,8.4,1015.1,68,169,12.5,0.7,10485.9
58141,20210520052030,14.7,1019.8,99,251,5.0,0.1,10490.6
58143,20210520052030,2.6,1009.4,13,251,11.2,0.2,10096.5
58150,20210520052030,22.5,1012.3,80,305,14.4,0.9,10041.3
58158,20210520052030,17.6,1015.7,70,96,0.3,0.8,10282.0
58238,20210520052030,31.3,1011.7,53,8,12.8,1.5,10463.0
58241,20210520052030,1.1,1002.6,70,227,8.7,0.1,10451.1
58251,20210520052030,2.4,1000.9,41,339,4.4,0.3,10107.1
58252,20210520052030,26.4,1007.3,96,51,8.2,1.2,10456.0
58255,20210520052030,6.2,1013.2,86,130,12.1,1.0,10249.3
58259,20210520052030,1.9,1000.0,31,292,3.3,1.5,10161.4
58265,20210520052030,28.6,1021.3,82,65,9.4,0.5,10151.4
58343,20210520052030,24.7,1009.8,22,140,4.8,0.4,10426.0
58345,20210520052030,29.9,1012.7,51,109,3.6,0.0,10207.4
58354,20210520052030,10.8,1005.8,23,1,12.5,0.0,10307.5
58356,20210520052030,28.1,1012.4,97,61,3.9,0.1,10046.5
58358,20210520052030,26.6,1026.4,84,106,4.4,0.4,10431.8
57598,20210520052030,2.0,1018.0,62,326,5.9,0.8,10043.3
57696,20210520052030,4.3,1020.2,40,358,13.2,0.6,10166.2
57789,20210520052030,28.4,1006.1,18,25,2.2,0.1,10272.4
57793,20210520052030,26.2,1014.3,6,149,9.2,0.0,10434.4
57799,20210520052030,20.5,1015.5,35,160,2.2,0.3,10453.7
57894,20210520052030,21.3,1007.4,6,229,1.1,0.5,10150.3
57896,20210520052030,12.2,1003.2,12,242,2.5,0.0,10368.5
57993,20210520052030,26.4,1018.0,68,191,3.8,0.8,10407.2
58506,20210520052030,15.4,1010.8,89,168,1.0,0.2,10174.2
